
Smileys and people

👶; Baby; U+1F476; UTF-8: F0 9F 91 B6
👶🏻; Baby; U+1F476 U+1F3FB; UTF-8: F0 9F 91 B6 F0 9F 8F BB
👶🏼; Baby; U+1F476 U+1F3FC; UTF-8: F0 9F 91 B6 F0 9F 8F BC
👶🏽; Baby; U+1F476 U+1F3FD; UTF-8: F0 9F 91 B6 F0 9F 8F BD
👶🏾; Baby; U+1F476 U+1F3FE; UTF-8: F0 9F 91 B6 F0 9F 8F BE
👶🏿; Baby; U+1F476 U+1F3FF; UTF-8: F0 9F 91 B6 F0 9F 8F BF
👦; Boy; U+1F466; UTF-8: F0 9F 91 A6
👦🏻; Boy; U+1F466 U+1F3FB; UTF-8: F0 9F 91 A6 F0 9F 8F BB
👦🏼; Boy; U+1F466 U+1F3FC; UTF-8: F0 9F 91 A6 F0 9F 8F BC
👦🏽; Boy; U+1F466 U+1F3FD; UTF-8: F0 9F 91 A6 F0 9F 8F BD
👦🏾; Boy; U+1F466 U+1F3FE; UTF-8: F0 9F 91 A6 F0 9F 8F BE
👦🏿; Boy; U+1F466 U+1F3FF; UTF-8: F0 9F 91 A6 F0 9F 8F BF
👧; Girl; U+1F467; UTF-8: F0 9F 91 A7
👧🏻; Girl; U+1F467 U+1F3FB; UTF-8: F0 9F 91 A7 F0 9F 8F BB
👧🏼; Girl; U+1F467 U+1F3FC; UTF-8: F0 9F 91 A7 F0 9F 8F BC
👧🏽; Girl; U+1F467 U+1F3FD; UTF-8: F0 9F 91 A7 F0 9F 8F BD
👧🏾; Girl; U+1F467 U+1F3FE; UTF-8: F0 9F 91 A7 F0 9F 8F BE
👧🏿; Girl; U+1F467 U+1F3FF; UTF-8: F0 9F 91 A7 F0 9F 8F BF
👨; Man; U+1F468; UTF-8: F0 9F 91 A8
👨🏻; Man; U+1F468 U+1F3FB; UTF-8: F0 9F 91 A8 F0 9F 8F BB
👨🏼; Man; U+1F468 U+1F3FC; UTF-8: F0 9F 91 A8 F0 9F 8F BC
👨🏽; Man; U+1F468 U+1F3FD; UTF-8: F0 9F 91 A8 F0 9F 8F BD
👨🏾; Man; U+1F468 U+1F3FE; UTF-8: F0 9F 91 A8 F0 9F 8F BE
👨🏿; Man; U+1F468 U+1F3FF; UTF-8: F0 9F 91 A8 F0 9F 8F BF
👩; Woman; U+1F469; UTF-8: F0 9F 91 A9
👩🏻; Woman; U+1F469 U+1F3FB; UTF-8: F0 9F 91 A9 F0 9F 8F BB
👩🏼; Woman; U+1F469 U+1F3FC; UTF-8: F0 9F 91 A9 F0 9F 8F BC
👩🏽; Woman; U+1F469 U+1F3FD; UTF-8: F0 9F 91 A9 F0 9F 8F BD
👩🏾; Woman; U+1F469 U+1F3FE; UTF-8: F0 9F 91 A9 F0 9F 8F BE
👩🏿; Woman; U+1F469 U+1F3FF; UTF-8: F0 9F 91 A9 F0 9F 8F BF
👱; Person with blond hair; U+1F471; UTF-8: F0 9F 91 B1
👱🏻; Person with blond hair; U+1F471 U+1F3FB; UTF-8: F0 9F 91 B1 F0 9F 8F BB
👱🏼; Person with blond hair; U+1F471 U+1F3FC; UTF-8: F0 9F 91 B1 F0 9F 8F BC
👱🏽; Person with blond hair; U+1F471 U+1F3FD; UTF-8: F0 9F 91 B1 F0 9F 8F BD
👱🏾; Person with blond hair; U+1F471 U+1F3FE; UTF-8: F0 9F 91 B1 F0 9F 8F BE
👱🏿; Person with blond hair; U+1F471 U+1F3FF; UTF-8: F0 9F 91 B1 F0 9F 8F BF
👴; Older man; U+1F474; UTF-8: F0 9F 91 B4
👴🏻; Older man; U+1F474 U+1F3FB; UTF-8: F0 9F 91 B4 F0 9F 8F BB
👴🏼; Older man; U+1F474 U+1F3FC; UTF-8: F0 9F 91 B4 F0 9F 8F BC
👴🏽; Older man; U+1F474 U+1F3FD; UTF-8: F0 9F 91 B4 F0 9F 8F BD
👴🏾; Older man; U+1F474 U+1F3FE; UTF-8: F0 9F 91 B4 F0 9F 8F BE
👴🏿; Older man; U+1F474 U+1F3FF; UTF-8: F0 9F 91 B4 F0 9F 8F BF
👵; Older woman; U+1F475; UTF-8: F0 9F 91 B5
👵🏻; Older woman; U+1F475 U+1F3FB; UTF-8: F0 9F 91 B5 F0 9F 8F BB
👵🏼; Older woman; U+1F475 U+1F3FC; UTF-8: F0 9F 91 B5 F0 9F 8F BC
👵🏽; Older woman; U+1F475 U+1F3FD; UTF-8: F0 9F 91 B5 F0 9F 8F BD
👵🏾; Older woman; U+1F475 U+1F3FE; UTF-8: F0 9F 91 B5 F0 9F 8F BE
👵🏿; Older woman; U+1F475 U+1F3FF; UTF-8: F0 9F 91 B5 F0 9F 8F BF
👲; Man with Gua Pi Mao; U+1F472; UTF-8: F0 9F 91 B2
👲🏻; Man with Gua Pi Mao; U+1F472 U+1F3FB; UTF-8: F0 9F 91 B2 F0 9F 8F BB
👲🏼; Man with Gua Pi Mao; U+1F472 U+1F3FC; UTF-8: F0 9F 91 B2 F0 9F 8F BC
👲🏽; Man with Gua Pi Mao; U+1F472 U+1F3FD; UTF-8: F0 9F 91 B2 F0 9F 8F BD
